opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Simpson Storm,"Tue, Nov 26",Central (IA) Dutch,Home,L,79.0,100.0,-21.0
Simpson Storm,"Wed, Dec 4",Coe Kohawks,Away,L,51.0,79.0,-28.0
Simpson Storm,"Sat, Dec 7",Dubuque Spartans,Home,L,67.0,81.0,-14.0
Simpson Storm,"Sun, Dec 15",Bethany Lutheran Vikings,Away,W,95.0,89.0,6.0
Simpson Storm,"Thu, Dec 19",Cornell College Rams,Home,L,71.0,79.0,-8.0
Simpson Storm,"Sat, Dec 21",UW-Whitewater Warhawks,Home,W,87.0,71.0,16.0
Simpson Storm,"Tue, Dec 31",Knox Prairie Fire,Away,L,73.0,74.0,-1.0
Simpson Storm,"Sat, Jan 4",Wartburg Knights,Home,L,70.0,82.0,-12.0
Simpson Storm,"Wed, Jan 8",Nebraska Wesleyan Prairie Wolves,Home,L,60.0,81.0,-21.0
Simpson Storm,"Sat, Jan 11",Luther Norse,Away,W,61.0,57.0,4.0
Simpson Storm,"Wed, Jan 15",Buena Vista Beavers,Away,L,75.0,98.0,-23.0
Simpson Storm,"Sat, Jan 18",Loras Duhawks,Home,L,72.0,100.0,-28.0
Simpson Storm,"Sat, Jan 25",Dubuque Spartans,Away,L,71.0,95.0,-24.0
Simpson Storm,"Wed, Jan 29",Central (IA) Dutch,Away,L,60.0,85.0,-25.0
Simpson Storm,"Sat, Feb 1",Wartburg Knights,Away,L,63.0,85.0,-22.0
Simpson Storm,"Wed, Feb 5",Coe Kohawks,Home,W,83.0,78.0,5.0
Simpson Storm,"Sat, Feb 8",Luther Norse,Home,L,53.0,63.0,-10.0
Simpson Storm,"Thu, Feb 13",Nebraska Wesleyan Prairie Wolves,Away,L,54.0,82.0,-28.0
Simpson Storm,"Sun, Feb 16",Loras Duhawks,Away,L,56.0,86.0,-30.0
Simpson Storm,"Wed, Feb 19",Buena Vista Beavers,Home,L,57.0,77.0,-20.0
