opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report
UW-Stevens Point Pointers,2025-01-08,#0,Tyshawn Teague-Johnson,G/F,"6'5""",185 lbs,FR,Bench,Driver/Shooter,Anticipate RH Drives/Finishes,True
UW-River Falls Falcons,2025-01-04,#4,Jeremy Wanguhu,G,"6'2""",185 lbs,JR,Starter,Driver/Shooter - Likes baseline,No baseline drives,True
UW-River Falls Falcons,2025-01-04,#23,Zac Johnson,G,"6'3""",195 lbs,SR,Starter,3 Level Scorer (Left Handed),No ball screen rejects!!,True
UW-River Falls Falcons,2025-01-04,#10,Gavin Ralph,G,"6'3""",185 lbs,JR,Starter,Athletic Driver/Shooter,No Baseline!!!,True
UW-River Falls Falcons,2025-01-04,#24,Drew Adams,F,"6'8""",220 lbs,SR,Starter,Rebounds hard,Boxout!,True
UW-River Falls Falcons,2025-01-04,#25,Jack Leifker,C,"6'8""",220 lbs,JR,Starter,Posts hard in transition,Do work early - Extend catches!!,True
UW-River Falls Falcons,2025-01-04,#11,Micah Thompson,F,"6'6""",215 lbs,SO,Bench,Efficient scorer in post,Do work early - Extend catches!!,True
UW-River Falls Falcons,2025-01-04,#5,Regan Merritt,G,"6'0""",160 lbs,JR,Bench,Shooter/Driver,Locate in transition,True
UW-River Falls Falcons,2025-01-04,#32,Mason Anderson,G,"6'2""",200 lbs,SR,Bench,SHOOTER!!,No C&S 3's!!,True
UW-River Falls Falcons,2025-01-04,#1,Jacob Butler,G,"6'5""",200 lbs,JR,Bench,Driver/Shooter,No Rhythm 3's,True
