#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
25,Horns- DHO LS- DHO RS- BIG SCI,AU@BEN - 11/14/2025 QTR: 2 CLK: 19:15,,,,,Miss 2 Pts,0:14.0,N/A,N/A,1:26:01.78,1:26:15.78,Aurora University,AU@BEN,11/15/2025,2,19:15,Bryden Gryzmala,,,,1 Bryden Gryzmala > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
26,"OK State- DHO RS- Sci Sc- STS -RE ",AU@BEN - 11/14/2025 QTR: 2 CLK: 18:33,,,,,Miss 3 Pts,0:18.1,N/A,N/A,1:27:06.11,1:27:24.24,Aurora University,AU@BEN,11/15/2025,2,18:33,Bryden Gryzmala,,,,2 Juan Madrigal > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Bryden Gryzmala > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
27,blob- stairs,AU@BEN - 11/14/2025 QTR: 2 CLK: 18:13,,,,,Miss 3 Pts,0:30.3,N/A,N/A,1:27:31.58,1:28:01.91,Aurora University,AU@BEN,11/15/2025,2,18:13,Zerrick Johnson,,,,13 Zerrick Johnson > Spot-Up > Drives Right > Dribble Jumper > Long/3pt > Miss 3 Pts
28,23- Xaiver Screen- BS,AU@BEN - 11/14/2025 QTR: 2 CLK: 16:55,,,,,Turnover,0:13.1,N/A,N/A,1:30:43.51,1:30:56.65,Aurora University,AU@BEN,11/15/2025,2,16:55,Juan Madrigal,,,,2 Juan Madrigal > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Turnover
29,Blob-Stairs,AU@BEN - 11/14/2025 QTR: 2 CLK: 16:16,,,,,Foul,0:16.0,N/A,N/A,1:32:37.31,1:32:53.31,Aurora University,AU@BEN,11/15/2025,2,16:16,Mekhi Doby,,,,11 Mekhi Doby > Hand Off > From Dribble > Right > To Basket > Foul
30,Blob- LOB,AU@BEN - 11/14/2025 QTR: 2 CLK: 15:47,,,,,Miss 2 Pts,0:11.1,N/A,N/A,1:36:20.31,1:36:31.45,Aurora University,AU@BEN,11/15/2025,2,15:47,Larry Carthan,,,,5 Larry Carthan > Cut > Screen > Miss 2 Pts
31,Horns-DHO- DHO- SCI,AU@BEN - 11/14/2025 QTR: 2 CLK: 12:02,,,,,Foul,0:13.7,N/A,N/A,1:45:49.59,1:46:03.32,Aurora University,AU@BEN,11/15/2025,2,12:02,Zerrick Johnson,,,,13 Zerrick Johnson > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Foul
32,BLOB- Breddy,AU@BEN - 11/14/2025 QTR: 2,,,,,Miss 2 Pts,0:10.7,N/A,N/A,1:48:34.59,1:48:45.25,Aurora University,AU@BEN,11/15/2025,2,,Juan Madrigal,,,,2 Juan Madrigal > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts
33,Blob- Box Curl,AU@BEN - 11/14/2025 QTR: 2 CLK: 09:17,,,,,Miss 3 Pts,0:15.0,N/A,N/A,1:57:03.86,1:57:18.86,Aurora University,AU@BEN,11/15/2025,2,9:17,Isaiah Thompson,,,,3 Jeffery Hillmer > Post-Up > Left Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 21 Isaiah Thompson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
34,OK State- Pass RS- Follow- Pat Miller,AU@NCC - 11/11/2025 QTR: 1 CLK: 14:43,,,,,Miss 2 Pts,0:27.5,N/A,N/A,11:47.73,12:15.20,Aurora University,AU@NCC,11/12/2025,1,14:43,Gevon Grant,,,,24 Gevon Grant > Hand Off > From Dribble > Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
35,32- DHO RS- STS,AU@NCC - 11/11/2025 QTR: 1 CLK: 13:08,,,,,Miss 2 Pts,0:25.4,N/A,N/A,13:55.47,14:20.87,Aurora University,AU@NCC,11/12/2025,1,13:08,Gevon Grant,,,,24 Gevon Grant > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
36,hi-low- Pass LS-Follow- BS,AU@NCC - 11/11/2025 QTR: 1 CLK: 09:32,,,,,Make 3 Pts,0:15.1,N/A,N/A,22:16.07,22:31.13,Aurora University,AU@NCC,11/12/2025,1,9:32,Zerrick Johnson,,,,24 Gevon Grant > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Zerrick Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
37,Diamond- DS- HiLO,AU@NCC - 11/11/2025 QTR: 1 CLK: 08:31,,,,,Turnover,0:20.0,N/A,N/A,24:15.18,24:35.13,Aurora University,AU@NCC,11/12/2025,1,8:31,Gevon Grant,,,,24 Gevon Grant > Spot-Up > Drives Right > Turnover
38,33- 5 BS LW- Flair,AU@NCC - 11/11/2025 QTR: 1 CLK: 08:05,,,,,Make 2 Pts,0:10.5,N/A,N/A,26:24.38,26:34.85,Aurora University,AU@NCC,11/12/2025,1,8:05,Zerrick Johnson,,,,13 Zerrick Johnson > ISO > Left > Drives Left > To Basket > Make 2 Pts
39,"41- BS ",AU@NCC - 11/11/2025 QTR: 1 CLK: 04:05,,,,,Miss 2 Pts,0:29.5,N/A,N/A,31:07.25,31:36.73,Aurora University,AU@NCC,11/12/2025,1,4:05,Devon Richardson,,,,2 Juan Madrigal > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Devon Richardson > P&R Roll Man > Rolls to Basket > Miss 2 Pts
40,BLOB- BOX- CURL,AU@NCC - 11/11/2025 QTR: 1 CLK: 03:56,,,,,Miss 2 Pts,0:14.2,N/A,N/A,31:58.05,32:12.25,Aurora University,AU@NCC,11/12/2025,1,3:56,Larry Carthan,,,,5 Larry Carthan > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
41,BLOB-BOX-Breddy,AU@NCC - 11/11/2025 QTR: 1 CLK: 03:48,,,,,Miss 2 Pts,0:14.8,N/A,N/A,32:19.38,32:34.18,Aurora University,AU@NCC,11/12/2025,1,3:48,Isaiah Thompson,,,,21 Isaiah Thompson > ISO > Right > Drives Right > To Basket > Miss 2 Pts
42,HiLo-DH RS-DS-STS,AU@NCC - 11/11/2025 QTR: 1 CLK: 03:19,,,,,Make 2 Pts,0:19.8,N/A,N/A,33:39.85,33:59.65,Aurora University,AU@NCC,11/12/2025,1,3:19,Juan Madrigal,,,,2 Juan Madrigal > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Short to < 17' > Make 2 Pts
43,Blob-Box-Curl,AU@NCC - 11/11/2025 QTR: 1 CLK: 02:16,,,,,Make 2 Pts,0:11.9,N/A,N/A,35:38.85,35:50.73,Aurora University,AU@NCC,11/12/2025,1,2:16,Larry Carthan,,,,5 Larry Carthan > Post-Up > Flash Middle > Left Shoulder > Dribble Move > To Hook > Make 2 Pts
44,Slob-DS-BS,AU@NCC - 11/11/2025 QTR: 1 CLK: 01:52,,,,,Foul,0:13.6,N/A,N/A,36:19.05,36:32.65,Aurora University,AU@NCC,11/12/2025,1,1:52,Gevon Grant,,,,24 Gevon Grant > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul
