team,player,side,cell_hy,cell_hx,frames
UW-Whitewater,TEAM,offense,45,10,13
UW-Oshkosh Titans,TEAM,defense,20,30,67
UW-Oshkosh Titans,TEAM,defense,25,30,94
UW-Whitewater,TEAM,offense,40,25,39
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,0,25,13
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,10,9
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,25,20,4
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,25,15,5
UW-Whitewater,TEAM,offense,30,30,115
UW-Oshkosh Titans,Brandon Beck,defense,20,45,2
UW-Oshkosh Titans,TEAM,defense,20,45,18
UW-Oshkosh Titans,TEAM,defense,30,5,53
UW-Oshkosh Titans,TEAM,defense,45,5,3
UW-Oshkosh Titans,Brandon Beck,defense,15,20,7
UW-Oshkosh Titans,Brandon Beck,defense,15,10,10
UW-Oshkosh Titans,Brandon Beck,defense,15,15,4
UW-Oshkosh Titans,Brandon Beck,defense,20,15,4
UW-Oshkosh Titans,Brandon Beck,defense,10,10,9
UW-Oshkosh Titans,Brandon Beck,defense,35,10,2
UW-Oshkosh Titans,Brandon Beck,defense,30,5,1
UW-Whitewater,TEAM,offense,25,10,65
UW-Whitewater,TEAM,defense,20,10,64
UW-Oshkosh Titans,TEAM,offense,10,10,20
UW-Oshkosh Titans,TEAM,offense,30,10,30
UW-Oshkosh Titans,TEAM,offense,40,5,14
UW-Oshkosh Titans,TEAM,offense,45,15,72
UW-Oshkosh Titans,TEAM,offense,20,15,60
UW-Oshkosh Titans,TEAM,offense,15,15,57
UW-Oshkosh Titans,TEAM,offense,0,20,45
UW-Whitewater,TEAM,defense,45,10,13
UW-Whitewater,TEAM,defense,45,30,14
UW-Whitewater,TEAM,defense,40,35,21
UW-Whitewater,TEAM,defense,45,15,34
UW-Whitewater,TEAM,defense,5,40,24
UW-Oshkosh Titans,TEAM,offense,35,10,48
UW-Whitewater,TEAM,defense,45,25,47
UW-Oshkosh Titans,TEAM,offense,10,5,11
UW-Whitewater,TEAM,defense,40,0,12
UW-Oshkosh Titans,TEAM,defense,20,35,33
UW-Oshkosh Titans,TEAM,defense,0,5,8
UW-Oshkosh Titans,TEAM,defense,20,0,5
UW-Oshkosh Titans,TEAM,defense,25,5,33
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,5,8
UW-Whitewater,TEAM,offense,40,5,20
UW-Oshkosh Titans,TEAM,defense,5,0,21
UW-Oshkosh Titans,Brandon Beck,defense,5,10,1
UW-Oshkosh Titans,Brandon Beck,defense,25,5,2
UW-Oshkosh Titans,Brandon Beck,defense,5,40,12
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,10,5,5
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,10,10,3
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,5,10,3
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,25,25,13
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,30,5
UW-Oshkosh Titans,TEAM,defense,35,30,50
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,45,3
UW-Whitewater,TEAM,offense,0,40,16
UW-Oshkosh Titans,TEAM,defense,0,0,20
UW-Oshkosh Titans,TEAM,offense,25,5,17
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,20,35,7
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,15,30,9
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,35,35,3
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,10,30,8
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,10,25,9
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,5,25,2
UW-Oshkosh Titans,Brandon Beck,offense,45,20,23
UW-Whitewater,TEAM,defense,15,25,67
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,0,15,3
UW-Oshkosh Titans,TEAM,offense,0,15,22
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,5,20,2
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,10,15,13
UW-Oshkosh Titans,TEAM,offense,10,15,53
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,15,15,8
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,30,10,6
