opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,MIN,started
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Jacob Becher,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.2,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Jamisen Young,6,2,5,0,0,2,2,0,1,1,0,0,1,0,1,40.0,,100.0,15.4,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Jaquan Adams,6,2,5,1,3,1,1,2,6,0,0,0,3,5,8,40.0,33.3,100.0,18.8,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Jax Effertz,10,4,8,2,6,0,0,0,0,1,0,0,0,2,0,50.0,33.3,,22.3,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Jayden Livingston,4,1,5,1,5,1,3,0,0,1,0,0,2,3,0,20.0,20.0,33.3,16.8,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Josh Hoffman,3,1,2,1,2,0,0,1,2,0,0,0,0,2,3,50.0,50.0,,10.9,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Remy Wedgeworth-Brown,2,1,3,0,1,0,0,0,0,3,0,0,5,2,0,33.3,0.0,,22.3,False
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Cal Krohn,14,6,8,0,0,2,5,0,4,6,0,1,1,1,4,75.0,,40.0,32.7,True
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Carter Combs,1,0,6,0,5,1,2,0,6,3,2,0,3,4,6,0.0,0.0,50.0,28.4,True
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Drew Daoust,6,2,5,1,4,1,2,2,1,1,0,1,0,0,3,40.0,25.0,50.0,9.6,False
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Grant Manz,2,1,1,0,0,0,0,1,3,0,0,0,0,3,4,100.0,,,7.0,False
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Isaiah Moore,7,3,5,1,3,0,0,1,3,1,2,0,1,5,4,60.0,33.3,,16.9,False
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Josiah Butler,24,7,11,2,5,8,10,1,2,0,1,0,3,3,3,63.6,40.0,80.0,34.0,True
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Logan Baumgartner,2,1,3,0,2,0,0,1,2,0,0,0,3,0,3,33.3,0.0,,8.4,True
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Max Raimer,8,2,3,0,1,4,8,1,3,0,0,0,0,0,4,66.7,0.0,50.0,23.6,False
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Seth Miron,14,6,16,0,4,2,2,8,2,5,3,0,0,2,10,37.5,0.0,100.0,37.3,True
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,Tyler Orr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.5,False
North Park Vikings,2025-11-29,North Park Vikings,Dylan Fuzak,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,3.3,False
North Park Vikings,2025-11-29,North Park Vikings,Harrison Long,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,3.4,False
North Park Vikings,2025-11-29,North Park Vikings,Jalen Houston,15,4,11,3,7,4,4,0,3,6,0,0,0,5,3,36.4,42.9,100.0,35.1,False
North Park Vikings,2025-11-29,North Park Vikings,"Jerome Smith, Jr.",0,0,4,0,4,0,0,0,1,1,0,0,0,1,1,0.0,0.0,,,False
North Park Vikings,2025-11-29,North Park Vikings,Julian Campbell,15,4,7,0,2,7,8,1,0,0,0,1,1,4,1,57.1,0.0,87.5,23.6,False
North Park Vikings,2025-11-29,North Park Vikings,Kolden Vanlandingham,39,14,23,5,10,6,10,0,3,10,2,0,5,3,3,60.9,50.0,60.0,52.4,False
North Park Vikings,2025-11-29,North Park Vikings,Lazario Cornish,13,5,6,1,2,2,3,3,2,0,2,0,3,4,5,83.3,50.0,66.7,37.4,False
North Park Vikings,2025-11-29,North Park Vikings,Marquis Vance,6,2,3,2,2,0,0,0,1,0,0,0,0,2,1,66.7,100.0,,16.1,False
North Park Vikings,2025-11-29,North Park Vikings,Mike Vuckovic,8,3,3,2,2,0,0,2,5,6,1,0,4,5,7,100.0,100.0,,38.4,False
North Park Vikings,2025-11-29,North Park Vikings,William Bates,19,7,13,2,6,3,3,1,1,1,2,0,2,3,2,53.8,33.3,100.0,47.1,False
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Cal Krohn,25,8,12,0,0,9,14,1,4,2,0,0,1,4,5,66.7,,64.3,47.1,True
