clip_key,game_date,offense_team,defense_team,screen_type,screener,screened,screened_defender,screener_defender,coverage,coverage_source,coverage_tracking_estimate,screener_action,points,play_title,synergy_string,confidence
2026-01-03|73|11 Jr Lukenbill > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,rj,coach tag,separated (under / behind),,0.0,:press(rj),11 Jr Lukenbill > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,0.0
2026-01-03|74|21 Brock Marino > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,1.0,Brock Marino,21 Brock Marino > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,0.0
2026-01-03|77|32 Luke Bara > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,Michael Metcalf-Grassman,unnamed defense,rj,coach tag,separated (under / behind),roll,2.0,:press(rj),32 Luke Bara > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Make 2 Pts,0.39
2026-01-03|80|21 Brock Marino > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 12 Jake Quast > Cut > Basket > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Ball screen,unnamed offense,Jake Quast,unnamed defense,,unclear,tracking estimate,unclear,,2.0,blob(line):m2m,21 Brock Marino > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 12 Jake Quast > Cut > Basket > Make 2 Pts,0.61
2026-01-03|81|11 Jay Dalton > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,unclear,tracking estimate,unclear,,0.0,:m2m,11 Jay Dalton > No Play Type > Turnover,0.0
2026-01-03|82|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,Brandon Beck,unnamed defense,,Top Lock,coach tag,unclear,roll,0.0,5out(ghost):m2m(tl),2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,0.21
2026-01-03|85|2 Joey LaChapell > Spot-Up > Drives Right > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,Brandon Beck,Michael Metcalf-Grassman,unnamed defense,unnamed defense,unclear,tracking estimate,unclear,,0.0,2NDH-5OUT(DOUBLECUT):M2M,2 Joey LaChapell > Spot-Up > Drives Right > Turnover,0.25
2026-01-03|87|32 Luke Bara > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,unclear,tracking estimate,unclear,,,SLOB:,32 Luke Bara > Non Possession > Non Shooting Foul,0.0
2026-01-03|88|21 Brock Marino > Cut > Basket > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,Michael Metcalf-Grassman,unclear,tracking estimate,unclear,,2.0,BLOB:M2M,21 Brock Marino > Cut > Basket > Make 2 Pts,0.08
2026-01-03|90|21 Brock Marino > No Play Type > Turnover,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,Brandon Beck,rj,coach tag,unclear,,0.0,5OUT(DS):PRESS(RJ)(SWITCH)(DENYmadz),21 Brock Marino > No Play Type > Turnover,0.32
